from,to,distance
portico,main_ves,1
main_ves,central_hall,1
central_hall,sun_room,1
central_hall,39,1
central_hall,12,1
main_ves,1,1
main_ves,2,1
main_ves,45,1
main_ves,46,1
2,4,1
4,5,1
4,6,1
5,11,1
6,7,1
6,8,1
7,8,1
8,9,1
9,10,1
9,15,1
9,51,1
10,11,1
11,12,1
11,14,1
15,15s,1
15,15a,1
15,16,1
15,29,1
15a,17,1
15s,18,1
15s,26,1
16,17,1
17,17a,1
18,19,1
18,20,1
18,21,1
18,22,1
18,23,1
18,24,1
19,20,1
20,21,1
22,23,1
23,24,1
24,25,1
25,28,1
26,27,1
27,28,1
28,29,1
29,30,1
30,31,1
30,32,1
32,33,1
32,37,1
33,34,1
34,35,1
34,41,1
35,36,1
36,37,1
36,38,1
36,40,1
38,39,1
40,44,1
41,42,1
41,43,1
42,43,1
43,44,1
44,45,1
45,46,1
51,51a,1
51,52,1
52,53,1
53,54,1
53,59,1
54,55,1
55,56,1
55,57,1
57,58,1
57,65,1
58,59,1
59,60,1
59,63,1
60,61,1
61,62,1
62,63,1
63,64,1
64,65,1
65,66,1